date freq power mode idcall country long latitude distance
2014-11-29 01:52:15      21036.6 15    CW   WB1AEL         K      42.38000  -71.67000  4540
2014-11-29 01:52:36      21036.6 15    CW   JA8DIV         JA     41.77000  140.73000 14620
2014-11-29 01:52:54      21036.6 15    CW   KV8Q           K      41.35000  -83.22000  5034
2014-11-29 01:53:06      21036.6 15    CW   K0EA           K      41.08000  -96.40000  5891
2014-11-29 01:55:27      21036.6 15    CW   JM2QWQ         JA     35.18000  136.89999 15416
2014-11-29 01:55:42      21036.6 15    CW   JH1OGC         JA     35.68000  139.67999 15292
2014-11-29 01:56:33      21036.6 15    CW   N0KE           K      41.08000  -96.40000  5891
2014-11-29 01:56:51      21036.6 15    CW   JA7ZFN         JA     40.82000  140.73000 14720
2014-11-29 01:57:31      21036.6 15    CW   JA1CPU         JA     35.68000  139.67999 15292
2014-11-29 01:57:43      21036.6 15    CW   W3SM           K      39.98000  -76.88000  4564
2014-11-29 01:57:56      21036.6 15    CW   K1AR           K      42.38000  -71.67000  4540
2014-11-29 01:58:25      21036.6 15    CW   JA2ITK         JA     35.18000  136.89999 15416
2014-11-29 01:58:55      21036.6 15    CW   K8GT           K      41.35000  -83.22000  5034
2014-11-29 01:59:11      21036.6 15    CW   K3RV           K      39.98000  -76.88000  4564
2014-11-29 01:59:24      21036.6 15    CW   N7KA           K      34.63000 -106.35000  6395
2014-11-29 01:59:37      21036.6 15    CW   KA6T           K      35.47000 -119.33000  7564
2014-11-29 01:59:50      21036.6 15    CW   K6WSC          K      35.47000 -119.33000  7564
2014-11-29 02:00:10      21036.6 15    CW   K0KX           K      41.08000  -96.40000  5891
2014-11-29 02:00:42      21036.6 15    CW   JA7BME         JA     40.82000  140.73000 14720
2014-11-29 02:00:58      21036.6 15    CW   N8LJ           K      41.35000  -83.22000  5034
2014-11-29 02:01:21      21036.6 15    CW   EA8AQV         EA8    28.10000  -15.40000  4688
2014-11-29 02:01:47      21036.6 15    CW   N0KQ           K      41.08000  -96.40000  5891
2014-11-29 02:02:38      21036.6 15    CW   WZ4P           K      33.18000  -82.23000  4361
2014-11-29 02:03:01      21036.6 15    CW   KY9KYO         K      41.53000  -87.98000  5342
2014-11-29 02:04:02      21036.6 15    CW   N4DW           K      35.80000  -86.37000  4839
2014-11-29 02:04:26      21036.6 15    CW   N4WW           K      33.18000  -82.23000  4361
2014-11-29 02:05:20      21036.6 15    CW   PY2WC          PY    -23.55000  -46.63000  3263
2014-11-29 02:05:39      21036.6 15    CW   PJ2T           PJ2    12.17000  -69.00000  1951
2014-11-29 02:05:51      21036.6 15    CW   NR4M           K      33.18000  -82.23000  4361
2014-11-29 02:06:12      21036.6 15    CW   JG6JAV         JA     33.58000  130.53000 15692
2014-11-29 02:06:25      21036.6 15    CW   RU0ST          UA9    57.37000  106.00000 12800
2014-11-29 02:06:47      21036.6 15    CW   JA2QVP         JA     35.18000  136.89999 15416
2014-11-29 02:07:10      21036.6 15    CW   JA0VTK/7       JA     40.82000  140.73000 14720
2014-11-29 02:07:44      21036.6 15    CW   W9JJB          K      41.53000  -87.98000  5342
2014-11-29 02:08:00      21036.6 15    CW   JH8CXW         JA     41.77000  140.73000 14620
2014-11-29 02:08:24      21036.6 15    CW   K1VR           K      42.38000  -71.67000  4540
2014-11-29 02:09:22      21036.6 15    CW   W2VJN          K      44.75000 -122.58000  8020
2014-11-29 02:10:28      21036.6 15    CW   W3LPL          K      39.98000  -76.88000  4564
2014-11-29 02:10:53      21036.6 15    CW   JN3SAC         JA     35.02000  135.77000 15458
2014-11-29 02:11:17      21036.6 15    CW   JF0EBM         JA     36.65000  138.17999 15228
2014-11-29 02:11:36      21036.6 15    CW   JK1AII         JA     35.68000  139.67999 15292
2014-11-29 02:11:58      21036.6 15    CW   JE2GHV         JA     35.18000  136.89999 15416
2014-11-29 02:12:12      21036.6 15    CW   JA7KQC         JA     40.82000  140.73000 14720
2014-11-29 02:12:28      21036.6 15    CW   JG1SWV         JA     35.68000  139.67999 15292
2014-11-29 02:13:14      21036.6 15    CW   N7IR           K      41.28000 -116.58000  7461
2014-11-29 02:13:34      21036.6 15    CW   AI4GR          K      33.18000  -82.23000  4361
2014-11-29 02:14:37      21036.6 15    CW   N8BJQ          K      41.35000  -83.22000  5034
2014-11-29 02:14:55      21036.6 15    CW   JH1CTV         JA     35.68000  139.67999 15292
